id,notaventa,monto,tipo
957,22515,196.6,"Contra Entrega"
958,22516,249300,"Contra Entrega"
959,22516,3000,"Contra Entrega"
960,22517,1284800,Efectivo
961,22518,9137,"Mercado Libre"
962,22519,38000,"Mercado Libre"
963,22520,0,Efectivo
964,22521,0,Efectivo
965,22522,1725400,"Transferencia Bancaria"
966,22523,91000,Efectivo
967,22523,3000,Efectivo
968,22524,73.5,Tarjeta
969,22525,201695,Efectivo
970,22526,0,Efectivo
971,22527,0,Efectivo
972,22527,0,Efectivo
973,22528,5940,Efectivo
974,22529,11094,"Mercado Libre"
975,22531,110000,Efectivo
976,22531,54900,Mercadopago
977,22531,3000,"Contra Entrega"
978,22532,3834,"Mercado Libre"
979,22533,3834,"Mercado Libre"
980,22534,0,Efectivo
981,22535,443.6,"Contra Entrega"
982,22535,80000,Tarjeta
983,22537,294000,Efectivo
984,22538,2465240,ECheck
985,22539,53000,Efectivo
986,22540,55250,Tarjeta
987,22541,421694,"Contra Entrega"
988,22542,60,Dolares
989,22542,11600,"Contra Entrega"
990,22543,214000,"Contra Entrega"
991,22543,3000,"Contra Entrega"
992,22544,217000,Efectivo
993,22545,653000,"Mercado Libre"
994,22546,130550,Efectivo
995,22547,0,Efectivo
996,22548,145000,Efectivo
997,22550,9137,"Mercado Libre"
998,22551,9137,"Mercado Libre"
999,22552,2538,"Mercado Libre"
1000,22553,84000,Efectivo
1001,22554,93000,"Contra Entrega"
1002,22555,221000,"Contra Entrega"
1003,22556,75600,Efectivo
1004,22557,91000,"Contra Entrega"
1005,22558,219000,"Contra Entrega"
1006,22559,66600,Tarjeta
1007,22560,155000,"Contra Entrega"
1008,22561,3833,"Mercado Libre"
1009,22562,30281,"Mercado Libre"
1010,22563,45656,"Mercado Libre"
1011,22563,12000,"Contra Entrega"
1012,22564,2538,"Mercado Libre"
1013,22565,147900,"Transferencia Bancaria"
1014,22565,153900,"Contra Entrega"
1015,22566,192680,"Contra Entrega"
1016,22566,2000,"Contra Entrega"
1017,22567,3833,"Mercado Libre"
1018,22568,23151,"Mercado Libre"
1019,22569,6637,"Mercado Libre"
1020,22570,21150,Efectivo
1021,22571,201.7,"Transferencia Bancaria"
1022,22572,0,Cheque
1023,22573,2200,"Contra Entrega"
1024,22574,7667,"Mercado Libre"
1025,22575,9137,"Mercado Libre"
1026,22576,0,Efectivo
1027,22577,500,Dolares
1028,22578,46302,"Mercado Libre"
1029,22579,39000,"Mercado Libre"
1030,22580,27699,"Mercado Libre"
1031,22581,24576,"Mercado Libre"
1032,22582,27360,Tarjeta
1033,22583,25249,Efectivo
1034,22584,9137,"Mercado Libre"
1035,22585,143451,"Mercado Libre"
1036,22586,24576,"Mercado Libre"
1037,22587,10000,Mercadopago
1038,22587,890,"Transferencia Bancaria"
1039,22588,30500,Tarjeta
1040,22589,120000,Efectivo
1041,22589,5000,"Contra Entrega"
1042,22590,47500,"Contra Entrega"
1043,22591,175000,"Contra Entrega"
1044,22592,434000,"Contra Entrega"
1045,22593,498000,"Transferencia Bancaria"
1046,22594,482100,Mercadopago
1047,22594,6000,Mercadopago
1048,22595,151500,"Mercado Libre"
1049,22596,285200,Tarjeta
1050,22597,176900,Tarjeta
1051,22598,57699,"Mercado Libre"
1052,22599,1500,Tarjeta
1053,22599,11200,Efectivo
1054,22600,0,Efectivo
1055,22601,17500,"Mercado Libre"
1056,22602,3833,"Mercado Libre"
1057,22603,7840,"Mercado Libre"
1058,22604,222.47,"Transferencia Bancaria"
1059,22605,200,Dolares
1060,22606,71000,"Contra Entrega"
1061,22606,3500,"Contra Entrega"
1062,22607,186500,Mercadopago
1063,22608,5940,Adelanto
1064,22609,203000,"Contra Entrega"
1065,22610,385000,"Contra Entrega"
1066,22611,0,Efectivo
1067,22612,3833,"Mercado Libre"
1068,22613,127272,"Contra Entrega"
1069,22614,120500,Efectivo
1070,22614,0,Efectivo
1071,22615,186500,"Transferencia Bancaria"
1072,22616,100000,Tarjeta
1073,22616,2000,"Contra Entrega"
1074,22617,7200,Efectivo
1075,22618,4000,Efectivo
1076,22619,193400,"Transferencia Bancaria"
1077,22620,142363,"Mercado Libre"
1078,22621,56000,Efectivo
1079,22622,24576,"Mercado Libre"
1080,22623,0,Efectivo
1081,22625,0,Efectivo
1082,22626,50000,Mercadopago
1083,22626,200000,"Contra Entrega"
1084,22627,500000,ECheck
1085,22628,0,Financiado
1086,22629,0,Efectivo
1087,22630,55000,Mercadopago
1088,22631,187800,"Contra Entrega"
1089,22632,30281,"Mercado Libre"
1090,22633,9137,"Mercado Libre"
1091,22634,0,Efectivo
1092,22635,193151,"Mercado Libre"
1093,22636,14888,Tarjeta
1094,22637,39000,"Mercado Libre"
1095,22638,3833,"Mercado Libre"
1096,22639,50500,Tarjeta
1097,22640,309000,"Mercado Libre"
1098,22640,7000,Mercadopago
1099,22641,193151,"Mercado Libre"
1100,22642,278729,"Mercado Libre"
1101,22643,220000,Efectivo
1102,22644,165000,"Transferencia Bancaria"
1103,22645,191800,"Transferencia Bancaria"
1104,22646,510500,"Contra Entrega"
1105,22647,91160,Tarjeta
1106,22648,9250,Tarjeta
1107,22648,50000,Efectivo
1108,22649,40000,Tarjeta
1109,22649,24999,Efectivo
1110,22650,212466,"Mercado Libre"
1111,22651,244.999,"Transferencia Bancaria"
1112,22652,0,Cheque
1113,22653,319400,"Mercado Libre"
1114,22653,8000,Mercadopago
1115,22654,0,Efectivo
1116,22655,302500,"Transferencia Bancaria"
1117,22656,0,Efectivo
1118,22657,467600,"Contra Entrega"
1119,22659,506600,"Contra Entrega"
1120,22660,1500,Efectivo
1121,22661,2538,"Mercado Libre"
1122,22662,3833,"Mercado Libre"
1123,22663,6637,"Mercado Libre"
1124,22664,36000,"Mercado Libre"
1125,22665,104148,"Mercado Libre"
1126,22666,108148,"Mercado Libre"
1127,22667,0,Efectivo
1128,22668,3833,"Mercado Libre"
1129,22669,40862,"Mercado Libre"
1130,22671,32060,"Mercado Libre"
1131,22672,10080,"Mercado Libre"
1132,22673,39000,"Mercado Libre"
1133,22674,310000,"Mercado Libre"
1134,22675,60000,Efectivo
1135,22676,2600,Efectivo
1136,22677,0,Efectivo
1137,22678,124000,Mercadopago
1138,22678,3000,"Contra Entrega"
1139,22679,122000,Mercadopago
1140,22679,3000,"Contra Entrega"
1141,22680,0,Efectivo
1142,22681,249300,"Mercado Libre"
1143,22682,108148,"Mercado Libre"
1144,22683,91000,Efectivo
1145,22684,124000,Efectivo
1146,22685,258582,"Mercado Libre"
1147,22686,19000,Tarjeta
1148,22687,30281,"Mercado Libre"
1149,22688,1111110000000,Efectivo
1150,22689,46200,"Mercado Libre"
1151,22690,33000,"Transferencia Bancaria"
1152,22691,91000,"Contra Entrega"
1153,22691,3000,"Contra Entrega"
1154,22692,236000,Cheque
1155,22693,570000,Cheque
1156,22694,342000,Cheque
1157,22695,143000,"Transferencia Bancaria"
1158,22696,3666000,"Transferencia Bancaria"
1159,22697,172900,"Contra Entrega"
1160,22698,196.6,"Contra Entrega"
1161,22699,7667,"Mercado Libre"
1162,22700,116351,"Mercado Libre"
1163,22701,39000,"Mercado Libre"
1164,22702,137600,Efectivo
1165,22703,18500,Efectivo
1166,22704,50000,"Transferencia Bancaria"
1167,22705,214000,Efectivo
1168,22706,36000,"Mercado Libre"
1169,22707,228000,"Contra Entrega"
1170,22708,6160,Efectivo
1171,22709,0,Financiado
1172,22710,0,"Transferencia Bancaria"
1173,22711,114292,"Mercado Libre"
1174,22712,111111000000,Efectivo
1175,22713,13508,"Mercado Libre"
1176,22714,111169,"Mercado Libre"
1177,22715,30200,"Mercado Libre"
1178,22716,0,ECheck
1179,22717,102374,"Mercado Libre"
1180,22718,164900,Efectivo
1181,22719,3700,Efectivo
1182,22720,18000,Tarjeta
1183,22721,0,Efectivo
1184,22722,6720,"Mercado Libre"
1185,22723,0,Cheque
1186,22724,13508,"Mercado Libre"
1187,22725,329400,"Transferencia Bancaria"
1188,22726,182800,"Contra Entrega"
1189,22727,186800,"Contra Entrega"
1190,22728,114292,"Mercado Libre"
1191,22729,200600,"Contra Entrega"
1192,22730,0,Efectivo
1193,22731,0,Efectivo
1194,22732,45800,Mercadopago
1195,22733,0,"Transferencia Bancaria"
1196,22734,378900,"Transferencia Bancaria"
1197,22734,7500,"Transferencia Bancaria"
1198,22735,34000,"Mercado Libre"
1199,22736,63500,Efectivo
1200,22737,113222,"Mercado Libre"
1201,22738,114292,"Mercado Libre"
1202,22739,10000,Efectivo
1203,22740,347723,"Mercado Libre"
1204,22741,115638,"Mercado Libre"
1205,22742,171900,"Transferencia Bancaria"
1206,22743,91000,"Transferencia Bancaria"
1207,22744,0,Cheque
1208,22745,186800,Efectivo
1209,22746,518.6,"Transferencia Bancaria"
1210,22747,129700,"Contra Entrega"
1211,22748,0,Efectivo
1212,22749,0,Efectivo
1213,22750,1500,Efectivo
1214,22751,30150,Efectivo
1215,22752,60000,Efectivo
1216,22753,5200,Efectivo
1217,22754,0,"Transferencia Bancaria"
1218,22755,1600,Dolares
1219,22755,23000,Efectivo
1220,22756,22790,Efectivo
1221,22756,4400,Dolares
1222,22757,61209,"Mercado Libre"
1223,22758,108541,Tarjeta
1224,22759,12573,"Mercado Libre"
1225,22760,0,Efectivo
1226,22761,11500,"Mercado Libre"
1227,22762,0,Cheque
1228,22763,169000,"Contra Entrega"
1229,22763,3500,"Contra Entrega"
1230,22764,1333800,Efectivo
1231,22765,5945,Tarjeta
1232,22766,64,"Transferencia Bancaria"
1233,22766,60,Tarjeta
1234,22767,40000,Efectivo
1235,22767,101600,"Contra Entrega"
1236,22768,70783,"Contra Entrega"
1237,22769,222559,Efectivo
1238,22770,30200,"Mercado Libre"
1239,22771,0,Efectivo
1240,22772,4000,"Mercado Libre"
1241,22773,42900,"Mercado Libre"
1242,22774,10000,Efectivo
1243,22775,4000,"Contra Entrega"
1244,22775,91000,"Transferencia Bancaria"
1245,22776,505600,Cheque
1246,22777,23151,"Mercado Libre"
1247,22778,20434,"Mercado Libre"
1248,22779,13508,"Mercado Libre"
1249,22780,42900,"Mercado Libre"
1250,22781,83000,Cheque
1251,22782,26000,"Mercado Libre"
1252,22783,0,Efectivo
1253,22784,31917,"Mercado Libre"
1254,22785,18500,Efectivo
1255,22786,92500,"Contra Entrega"
1256,22787,13508,"Mercado Libre"
1257,22788,76000,Efectivo
1258,22789,10588,"Mercado Libre"
1259,22790,11000,Tarjeta
1260,22791,13508,"Mercado Libre"
1261,22792,0,Efectivo
1262,22793,224000,"Transferencia Bancaria"
1263,22794,23925,Tarjeta
1264,22795,0,Efectivo
1265,22796,53.4,Tarjeta
1266,22797,172000,"Contra Entrega"
1267,22798,149812,"Contra Entrega"
1268,22799,4198,"Mercado Libre"
1269,22800,13000,Efectivo
1270,22801,51047,Tarjeta
1271,22802,4198,"Mercado Libre"
1272,22803,189698,"Mercado Libre"
1273,22804,10902,"Mercado Libre"
1274,22805,91000,Mercadopago
1275,22805,5500,"Contra Entrega"
1276,22806,10902,"Mercado Libre"
1277,22807,222550,"Transferencia Bancaria"
1278,22808,65780,"Mercado Libre"
1279,22809,47817,"Mercado Libre"
1280,22810,230880,Efectivo
1281,22811,0,Efectivo
1282,22812,400800,Efectivo
1283,22813,2966,"Mercado Libre"
1284,22814,53400,Tarjeta
1285,22814,0,Efectivo
1286,22815,309.6,"Contra Entrega"
1287,22816,44000,"Mercado Libre"
1288,22817,0,"Contra Entrega"
1289,22818,4198,"Mercado Libre"
1290,22819,82500,Efectivo
1291,22820,32060,"Mercado Libre"
1292,22821,3600,Efectivo
1293,22822,0,Efectivo
1294,22823,479600,Mercadopago
1295,22824,122000,"Contra Entrega"
1296,22825,805000,Cheque
1297,22826,6978340,ECheck
1298,22827,28.3,Efectivo
1299,22828,550000,"Mercado Libre"
1300,22829,18400,"Mercado Libre"
1301,22830,18400,"Mercado Libre"
1302,22831,38200,Mercadopago
1303,22832,203000,Tarjeta
1304,22833,14837,"Mercado Libre"
1305,22834,62500,Efectivo
1306,22835,2916,"Mercado Libre"
1307,22836,2916,"Mercado Libre"
1308,22837,1450000,"Contra Entrega"
1309,22838,811004,"Transferencia Bancaria"
1310,22839,43356,Tarjeta
1311,22840,0,Efectivo
1312,22841,2916,"Mercado Libre"
1313,22842,46852,"Mercado Libre"
1314,22843,542500,Efectivo
1315,22844,42125,Tarjeta
1316,22845,58000,"Contra Entrega"
1317,22846,0,Efectivo
1318,22847,326000,"Contra Entrega"
1319,22848,99000,Efectivo
1320,22849,29200,Efectivo
1321,22850,86000,"Contra Entrega"
1322,22851,229600,"Contra Entrega"
1323,22852,29200,Efectivo
1324,22853,87207,"Mercado Libre"
1325,22854,116225,"Mercado Libre"
1326,22855,77000,Mercadopago
1327,22856,39000,Efectivo
1328,22857,102374,"Mercado Libre"
1329,22858,111775,"Mercado Libre"
1330,22859,101000,Mercadopago
1331,22860,309050,"Contra Entrega"
1332,22860,300950,Cheque
1333,22861,127000,"Contra Entrega"
1334,22862,130000,"Contra Entrega"
1335,22863,0,Cheque
1336,22864,147300,"Mercado Libre"
1337,22865,165500,"Contra Entrega"
1338,22868,88501,Efectivo
1339,22869,395.7,"Contra Entrega"
1340,22870,116228,"Mercado Libre"
1341,22871,91000,Efectivo
1342,22872,0,Financiado
1343,22874,31000,Efectivo
1344,22874,30000,Tarjeta
1345,22875,0,Efectivo
1346,22876,582770,Efectivo
1347,22877,2,Efectivo
1348,22878,0,Efectivo
1349,22879,104650,Efectivo
1350,22880,100000,Tarjeta
1351,22880,154600,Efectivo
1352,22880,3500,Efectivo
1353,22881,119143,"Mercado Libre"
1354,22882,4200,"Mercado Libre"
1355,22883,116146,"Mercado Libre"
1356,22884,11337,"Mercado Libre"
1357,22885,14980,"Mercado Libre"
1358,22886,3000,"Mercado Libre"
1359,22887,880,Efectivo
1360,22888,79404,"Mercado Libre"
1361,22889,125645,"Mercado Libre"
1362,22890,14656,"Mercado Libre"
1363,22891,200300,"Contra Entrega"
1364,22891,4500,"Contra Entrega"
1365,22892,121202,"Mercado Libre"
1366,22893,32097,"Mercado Libre"
1367,22894,113596,"Mercado Libre"
1368,22895,14656,"Mercado Libre"
1369,22896,14656,"Mercado Libre"
1370,22897,62000,"Mercado Libre"
1371,22898,62000,"Mercado Libre"
1372,22899,62000,"Mercado Libre"
1373,22900,62000,"Mercado Libre"
1374,22901,169200,Efectivo
1375,22902,3445,"Mercado Libre"
1376,22903,23000,"Mercado Libre"
1377,22904,308125,Tarjeta
1378,22905,59400,Cheque
1379,22906,102374,"Mercado Libre"
1380,22907,10300,Efectivo
1381,22908,69960,"Mercado Libre"
1382,22909,91000,"Contra Entrega"
1383,22909,3000,"Contra Entrega"
1384,22910,101530,Tarjeta
1385,22911,176470,"Transferencia Bancaria"
1386,22911,7500,"Transferencia Bancaria"
1387,22912,3779,"Mercado Libre"
1388,22913,2538,"Mercado Libre"
1389,22914,10902,"Mercado Libre"
1390,22915,8600,Tarjeta
1391,22916,116535,"Mercado Libre"
1392,22917,114000,Efectivo
1393,22918,222600,"Contra Entrega"
1394,22919,199456,"Mercado Libre"
1395,22920,130000,"Contra Entrega"
1396,22921,74000,Efectivo
1397,22922,168000,"Mercado Libre"
1398,22923,258000,"Contra Entrega"
1399,22924,87000,"Contra Entrega"
1400,22925,0,Efectivo
1401,22926,206.3,"Contra Entrega"
1402,22927,110000,Efectivo
1403,22927,23805,Tarjeta
1404,22928,21000,Mercadopago
1405,22929,88500,Efectivo
1406,22930,2300,Dolares
1407,22930,14040,Efectivo
1408,22931,1162000,"Mercado Libre"
1409,22932,91000,Efectivo
1410,22933,259318,"Transferencia Bancaria"
1411,22934,227000,Efectivo
1412,22935,32097,"Mercado Libre"
1413,22936,39000,"Mercado Libre"
1414,22937,16019,"Mercado Libre"
