id,notaventa,monto,tipo
195,21742,152145,"Transferencia Bancaria"
196,21743,18000,Efectivo
197,21744,137998,"Mercado Libre"
198,21745,20000,"Transferencia Bancaria"
199,21745,186000,Efectivo
200,21746,468619,"Transferencia Bancaria"
201,21748,4198,"Mercado Libre"
202,21749,28300,"Mercado Libre"
203,21750,308588,Efectivo
204,21750,5000,Efectivo
205,21751,17238,Cheque
206,21752,50000,Tarjeta
207,21752,51400,Efectivo
208,21753,164000,"Transferencia Bancaria"
209,21754,304290,ECheck
210,21755,0,"Contra Entrega"
211,21756,204600,"Contra Entrega"
212,21757,0,Efectivo
213,21759,94800,"Contra Entrega"
214,21760,1267260,Cheque
215,21761,204600,"Contra Entrega"
216,21762,62060,Financiado
217,21763,53000,Efectivo
218,21764,39300,"Mercado Libre"
219,21765,137300,Tarjeta
220,21765,2500,"Contra Entrega"
221,21766,2000,"Mercado Libre"
222,21767,28663,"Mercado Libre"
223,21768,18230,Tarjeta
224,21769,23372,"Mercado Libre"
225,21770,30400,Tarjeta
226,21771,37438,"Mercado Libre"
227,21772,22000,"Mercado Libre"
228,21773,292550,"Contra Entrega"
229,21773,3000,Efectivo
230,21774,22000,"Mercado Libre"
231,21775,180560,"Mercado Libre"
232,21776,25465,Efectivo
233,21777,30281,"Mercado Libre"
234,21778,3396,"Mercado Libre"
235,21779,22000,"Mercado Libre"
236,21780,180.075,Efectivo
237,21781,61820,"Mercado Libre"
238,21781,7220,"Contra Entrega"
239,21782,6201,"Mercado Libre"
240,21783,6200,"Mercado Libre"
241,21784,6200,"Mercado Libre"
242,21785,54500,"Transferencia Bancaria"
243,21786,30281,"Mercado Libre"
244,21787,115000,"Transferencia Bancaria"
245,21789,44000,"Mercado Libre"
246,21791,19000,Efectivo
247,21792,0,Efectivo
248,21793,0,Efectivo
249,21794,28300,"Mercado Libre"
250,21795,210000,Efectivo
251,21796,180075,Efectivo
252,21797,8000,Efectivo
253,21798,200000,Efectivo
254,21799,960300,Cheque
255,21800,200000,"Transferencia Bancaria"
256,21801,193,"Contra Entrega"
317,21862,42875,Efectivo
318,21863,6200,"Mercado Libre"
319,21864,11400,"Mercado Libre"
320,21865,17197,"Mercado Libre"
321,21866,16795,"Mercado Libre"
322,21867,36398,"Mercado Libre"
323,21868,22000,"Mercado Libre"
324,21869,0,"Contra Entrega"
325,21871,9800,"Mercado Libre"
326,21872,5500,Efectivo
327,21873,30200,"Mercado Libre"
328,21874,270200,"Contra Entrega"
329,21875,24999,"Mercado Libre"
330,21876,4198,"Mercado Libre"
331,21877,25465,"Mercado Libre"
332,21878,89800,Efectivo
333,21879,22800,Efectivo
334,21889,130000,Efectivo
335,21890,101000,"Mercado Libre"
336,21891,620093,ECheck
337,21892,234995,"Mercado Libre"
338,21893,18476,ECheck
339,21894,50000,Efectivo
340,21894,100000,Mercadopago
341,21894,59000,Tarjeta
342,21895,0,"Mercado Libre"
343,21897,26600,Efectivo
344,21898,99999,"Transferencia Bancaria"
345,21898,1300000,Efectivo
346,21899,100000,"Transferencia Bancaria"
347,21899,91500,"Contra Entrega"
348,21900,43000,Mercadopago
349,21901,214,"Transferencia Bancaria"
350,21902,144300,Mercadopago
351,21902,5000,"Contra Entrega"
352,21903,17197,"Mercado Libre"
353,21904,4198,"Mercado Libre"
354,21905,36398,"Mercado Libre"
355,21906,36398,"Mercado Libre"
356,21907,36398,"Mercado Libre"
357,21908,4198,"Mercado Libre"
358,21909,23800,"Mercado Libre"
359,21910,37438,"Mercado Libre"
360,21911,58000,Tarjeta
361,21912,257000,"Mercado Libre"
362,21913,24576,"Mercado Libre"
363,21914,90000,"Transferencia Bancaria"
364,21915,115500,Efectivo
365,21916,26600,Mercadopago
366,21917,234995,"Mercado Libre"
367,21918,972006,"Transferencia Bancaria"
368,21919,20000,Efectivo
369,21920,96140,"Mercado Libre"
370,21921,138300,Efectivo
371,21922,11000,"Transferencia Bancaria"
372,21924,194900,"Contra Entrega"
373,21924,3000,"Contra Entrega"
374,21926,1000,Dolares
375,21927,0,Cheque
376,21928,0,Cheque
377,21929,389480,Tarjeta
378,21930,145200,"Transferencia Bancaria"
379,21931,4530,"Mercado Libre"
380,21932,32060,"Mercado Libre"
381,21933,21800,Efectivo
382,21934,28663,"Mercado Libre"
383,21936,43100,Mercadopago
384,21937,5200,Efectivo
385,21938,41600,Efectivo
386,21939,219999,Efectivo
387,21939,6000,Efectivo
388,21940,15000,Efectivo
389,21941,0,Mercadopago
390,21942,4200,"Mercado Libre"
391,21943,8398,"Mercado Libre"
392,21944,44000,"Mercado Libre"
393,21945,0,"Mercado Libre"
394,21946,221000,"Contra Entrega"
395,21947,55200,"Mercado Libre"
396,21948,191500,"Contra Entrega"
397,21949,176175,Tarjeta
398,21950,241000,Efectivo
399,21951,8760,Tarjeta
400,21953,22000,"Mercado Libre"
401,21954,50000,Tarjeta
402,21955,100000,Efectivo
403,21955,207480,Tarjeta
404,21956,101400,"Transferencia Bancaria"
405,21957,25600,Efectivo
406,21958,945,Mercadopago
407,21958,93600,Efectivo
408,21959,113300,Efectivo
409,21961,44100,"Mercado Libre"
410,21962,28663,"Mercado Libre"
411,21963,11129,"Mercado Libre"
412,21964,30400,"Mercado Libre"
413,21965,22000,"Mercado Libre"
414,21966,0,Efectivo
415,21967,294545,Efectivo
416,21968,82800,"Mercado Libre"
417,21969,28663,"Mercado Libre"
418,21970,45300,"Mercado Libre"
419,21971,7596,"Mercado Libre"
420,21972,18000,"Mercado Libre"
421,21973,605,Cheque
422,21974,282521,"Transferencia Bancaria"
423,21975,126.5,Cheque
424,21976,58400,"Mercado Libre"
425,21977,25170,"Mercado Libre"
426,21978,0,"Transferencia Bancaria"
427,21979,22000,"Mercado Libre"
428,21980,204.695,Efectivo
429,21981,196680,"Transferencia Bancaria"
430,21982,53850,Efectivo
431,21983,22800,Efectivo
432,21984,214000,Efectivo
433,21985,24750,Cheque
434,21986,6000,Tarjeta
435,21987,9800,"Mercado Libre"
436,21988,0,Efectivo
437,21989,313588,"Contra Entrega"
438,21990,26484,"Mercado Libre"
439,21991,50000,Efectivo
440,21991,16400,Mercadopago
441,21992,4587,"Mercado Libre"
442,21993,0,Efectivo
443,21994,500000,Tarjeta
444,21994,153180,Efectivo
445,21995,24200,"Mercado Libre"
446,21996,13000,Efectivo
447,21997,28500,Tarjeta
448,21997,28500,Tarjeta
449,21998,255305,"Contra Entrega"
450,21999,4198,"Mercado Libre"
451,22000,28500,Tarjeta
452,22001,67099,"Transferencia Bancaria"
453,22002,5230,Efectivo
454,22003,661950,ECheck
455,22004,57800,"Mercado Libre"
456,22005,220999,"Contra Entrega"
457,22006,193000,Tarjeta
458,22009,420000,Efectivo
459,22010,47300,"Transferencia Bancaria"
460,22011,28663,"Mercado Libre"
461,22012,28663,"Mercado Libre"
462,22013,28663,"Mercado Libre"
463,22014,130000,"Mercado Libre"
464,22015,101000,"Mercado Libre"
465,22016,46302,"Mercado Libre"
466,22017,28663,"Mercado Libre"
467,22018,26969,"Mercado Libre"
468,22019,115500,Efectivo
469,22020,28663,"Mercado Libre"
470,22021,28663,"Mercado Libre"
471,22022,11062,"Mercado Libre"
472,22023,0,Efectivo
473,22024,0,"Transferencia Bancaria"
474,22025,186500,"Mercado Libre"
475,22026,8000,Efectivo
476,22027,585000,Cheque
477,22028,19200,Efectivo
478,22029,60000,Efectivo
479,22030,3000,Efectivo
480,22031,25000,Efectivo
481,22031,2360,Mercadopago
482,22032,0,Cheque
483,22033,312.5,"Transferencia Bancaria"
484,22033,4000,Efectivo
485,22035,9911,"Mercado Libre"
486,22036,28663,"Mercado Libre"
487,22037,669000,Cheque
488,22038,9911,"Mercado Libre"
489,22039,28663,"Mercado Libre"
490,22040,23151,"Mercado Libre"
491,22041,190000,Efectivo
492,22041,11695,Mercadopago
493,22042,140600,"Transferencia Bancaria"
494,22043,154917,"Mercado Libre"
495,22046,43050,"Mercado Libre"
496,22047,28663,"Mercado Libre"
497,22048,26969,"Mercado Libre"
498,22049,28663,"Mercado Libre"
499,22050,28663,"Mercado Libre"
500,22051,355400,Efectivo
501,22052,669000,Cheque
502,22053,5000,Mercadopago
503,22054,260700,"Contra Entrega"
504,22055,305600,"Mercado Libre"
505,22055,5000,"Contra Entrega"
506,22056,137300,"Contra Entrega"
507,22056,3000,"Contra Entrega"
508,22057,165000,ECheck
509,22058,200,Dolares
510,22059,28663,"Mercado Libre"
511,22060,28663,"Mercado Libre"
512,22061,23151,"Mercado Libre"
513,22062,0,Mercadopago
514,22063,28663,"Mercado Libre"
515,22064,28663,"Mercado Libre"
516,22065,10120,Efectivo
517,22066,221000,"Contra Entrega"
518,22067,0,Efectivo
519,22068,28440,Tarjeta
520,22069,262500,Mercadopago
521,22070,146055,"Mercado Libre"
522,22070,6000,"Contra Entrega"
523,22071,2079000,"Contra Entrega"
524,22072,0,Cheque
525,22073,0,Efectivo
526,22074,192600,Efectivo
527,22075,425063,Efectivo
528,22076,295000,"Contra Entrega"
529,22077,28663,"Mercado Libre"
530,22078,164900,"Transferencia Bancaria"
531,22079,27000,Efectivo
532,22080,313600,"Mercado Libre"
533,22081,214000,Efectivo
534,22082,30720,Tarjeta
535,22083,10400,Efectivo
536,22084,853,"Transferencia Bancaria"
537,22085,715981,Efectivo
538,22085,715981,Cheque
539,22086,161000,Efectivo
540,22087,23151,"Mercado Libre"
541,22088,0,Cheque
542,22089,25080,Efectivo
543,22090,185900,"Transferencia Bancaria"
544,22091,28663,"Mercado Libre"
545,22092,28663,"Mercado Libre"
546,22093,28663,"Mercado Libre"
547,22094,24576,"Mercado Libre"
548,22095,13600,"Mercado Libre"
549,22096,28663,"Mercado Libre"
550,22097,765000,"Transferencia Bancaria"
551,22098,346500,"Transferencia Bancaria"
552,22098,6500,"Contra Entrega"
553,22099,30720,Mercadopago
554,22100,255300,"Contra Entrega"
555,22102,114354,"Mercado Libre"
556,22103,221000,Efectivo
557,22104,0,Efectivo
558,22105,709734,Efectivo
559,22106,0,Efectivo
560,22108,28663,"Mercado Libre"
561,22109,2074000,"Transferencia Bancaria"
562,22109,6000,"Contra Entrega"
563,22110,0,Efectivo
564,22111,30720,Efectivo
565,22112,79000,"Mercado Libre"
